NumOfTips,LikCalculations,Time,isInfLik
0010,5000,0003.335,0
0010,5000,0001.753,0
0010,5000,0001.194,0
0010,5000,0001.230,0
0010,5000,0000.988,0
0010,5000,0001.263,0
0010,5000,0001.071,0
0010,5000,0001.075,0
0010,5000,0000.986,0
0010,5000,0001.091,0
0010,5000,0000.923,0
0010,5000,0001.032,0
0010,5000,0001.098,0
0010,5000,0001.032,0
0010,5000,0001.122,0
0010,5000,0001.100,0
0010,5000,0001.169,0
0010,5000,0000.960,0
0010,5000,0001.131,0
0010,5000,0001.092,0
0010,5000,0000.881,0
0010,5000,0001.236,0
0010,5000,0000.835,0
0010,5000,0000.858,0
0010,5000,0001.012,0
0010,5000,0000.868,0
0010,5000,0001.043,0
0010,5000,0001.050,0
0010,5000,0001.131,0
0010,5000,0000.899,0
0010,5000,0001.030,0
0010,5000,0001.147,0
0010,5000,0001.169,0
0010,5000,0001.421,0
0010,5000,0001.031,0
0010,5000,0001.401,0
0010,5000,0001.187,0
0010,5000,0000.911,0
0010,5000,0000.987,0
0010,5000,0001.051,0
0010,5000,0000.956,0
0010,5000,0000.961,0
0010,5000,0000.946,0
0010,5000,0000.985,0
0010,5000,0001.187,0
0010,5000,0000.954,0
0010,5000,0000.747,0
0010,5000,0000.882,0
0010,5000,0000.852,0
0010,5000,0001.038,0
0025,5000,0002.393,0
0025,5000,0002.312,0
0025,5000,0001.956,0
0025,5000,0002.253,0
0025,5000,0002.550,0
0025,5000,0001.948,0
0025,5000,0002.502,0
0025,5000,0002.183,0
0025,5000,0002.236,0
0025,5000,0002.211,0
0025,5000,0002.099,0
0025,5000,0002.176,0
0025,5000,0002.241,0
0025,5000,0002.367,0
0025,5000,0002.277,0
0025,5000,0002.294,0
0025,5000,0001.982,0
0025,5000,0002.177,0
0025,5000,0002.207,0
0025,5000,0001.772,0
0025,5000,0002.168,0
0025,5000,0002.271,0
0025,5000,0002.310,0
0025,5000,0002.175,0
0025,5000,0002.436,0
0025,5000,0002.079,0
0025,5000,0002.326,0
0025,5000,0002.021,0
0025,5000,0002.315,0
0025,5000,0002.167,0
0025,5000,0002.413,0
0025,5000,0001.948,0
0025,5000,0002.010,0
0025,5000,0002.016,0
0025,5000,0002.164,0
0025,5000,0002.145,0
0025,5000,0002.046,0
0025,5000,0002.407,0
0025,5000,0002.219,0
0025,5000,0002.076,0
0025,5000,0002.011,0
0025,5000,0002.228,0
0025,5000,0002.111,0
0025,5000,0001.893,0
0025,5000,0001.983,0
0025,5000,0001.952,0
0025,5000,0001.848,0
0025,5000,0001.907,0
0025,5000,0001.739,0
0025,5000,0002.098,0
0050,5000,0003.770,0
0050,5000,0003.760,0
0050,5000,0003.854,0
0050,5000,0004.287,0
0050,5000,0003.827,0
0050,5000,0003.889,0
0050,5000,0004.265,0
0050,5000,0003.835,0
0050,5000,0003.341,0
0050,5000,0003.795,0
0050,5000,0003.294,0
0050,5000,0004.083,0
0050,5000,0003.929,0
0050,5000,0003.217,0
0050,5000,0003.662,0
0050,5000,0003.944,0
0050,5000,0003.788,0
0050,5000,0003.529,0
0050,5000,0003.320,0
0050,5000,0003.703,0
0050,5000,0003.730,0
0050,5000,0004.379,0
0050,5000,0004.300,0
0050,5000,0003.692,0
0050,5000,0003.619,0
0050,5000,0003.843,0
0050,5000,0003.737,0
0050,5000,0004.154,0
0050,5000,0003.974,0
0050,5000,0003.999,0
0050,5000,0003.636,0
0050,5000,0003.772,0
0050,5000,0003.784,0
0050,5000,0003.777,0
0050,5000,0004.050,0
0050,5000,0003.554,0
0050,5000,0004.038,0
0050,5000,0003.617,0
0050,5000,0004.352,0
0050,5000,0003.723,0
0050,5000,0004.379,0
0050,5000,0004.087,0
0050,5000,0004.060,0
0050,5000,0004.060,0
0050,5000,0004.349,0
0050,5000,0004.195,0
0050,5000,0004.093,0
0050,5000,0003.721,0
0050,5000,0003.634,0
0050,5000,0003.969,0
0100,5000,0006.497,0
0100,5000,0006.506,0
0100,5000,0007.597,0
0100,5000,0006.707,0
0100,5000,0006.759,0
0100,5000,0006.957,0
0100,5000,0006.617,0
0100,5000,0006.168,0
0100,5000,0006.767,0
0100,5000,0007.154,0
0100,5000,0006.416,0
0100,5000,0006.925,0
0100,5000,0007.235,0
0100,5000,0007.616,0
0100,5000,0006.477,0
0100,5000,0006.421,0
0100,5000,0005.961,0
0100,5000,0006.989,0
0100,5000,0005.900,0
0100,5000,0006.865,0
0100,5000,0006.229,0
0100,5000,0006.938,0
0100,5000,0007.842,0
0100,5000,0006.974,0
0100,5000,0006.928,0
0100,5000,0007.165,0
0100,5000,0006.976,0
0100,5000,0006.359,0
0100,5000,0008.104,0
0100,5000,0008.173,0
0100,5000,0007.710,0
0100,5000,0006.619,0
0100,5000,0006.912,0
0100,5000,0006.704,0
0100,5000,0007.354,0
0100,5000,0006.357,0
0100,5000,0007.493,0
0100,5000,0006.766,0
0100,5000,0006.282,0
0100,5000,0007.282,0
0100,5000,0006.757,0
0100,5000,0008.018,0
0100,5000,0007.342,0
0100,5000,0007.596,0
0100,5000,0008.316,0
