NumOfTips,LikCalculations,Time,isInfLik
0010,5000,0013.058,0
0010,5000,0012.671,0
0010,5000,0010.245,0
0010,5000,0013.362,0
0010,5000,0009.567,0
0010,5000,0013.500,0
0010,5000,0012.059,0
0010,5000,0014.666,0
0010,5000,0012.009,0
0010,5000,0009.169,0
0010,5000,0012.788,0
0010,5000,0012.074,0
0010,5000,0013.954,0
0010,5000,0015.969,0
0010,5000,0008.442,0
0010,5000,0010.889,0
0010,5000,0011.591,0
0010,5000,0013.118,0
0010,5000,0010.436,0
0010,5000,0010.880,0
0010,5000,0009.412,0
0010,5000,0013.280,0
0010,5000,0014.253,0
0010,5000,0012.145,0
0010,5000,0012.961,0
0010,5000,0010.566,0
0010,5000,0015.354,0
0010,5000,0011.506,0
0010,5000,0014.279,0
0010,5000,0009.590,0
0010,5000,0008.241,0
0010,5000,0011.137,0
0010,5000,0012.317,0
0010,5000,0011.538,0
0010,5000,0007.416,0
0010,5000,0010.152,0
0010,5000,0011.356,0
0010,5000,0010.804,0
0010,5000,0011.080,0
0010,5000,0011.125,0
0010,5000,0011.318,0
0010,5000,0011.127,0
0010,5000,0012.563,0
0010,5000,0013.136,0
0010,5000,0011.939,0
0010,5000,0013.460,0
0010,5000,0014.473,0
0010,5000,0013.630,0
0010,5000,0010.468,0
0010,5000,0012.919,0
0025,5000,0015.778,0
0025,5000,0015.944,0
0025,5000,0024.641,0
0025,5000,0025.000,0
0025,5000,0019.993,0
0025,5000,0024.510,0
0025,5000,0022.482,0
0025,5000,0026.639,0
0025,5000,0026.937,0
0025,5000,0028.458,0
0025,5000,0019.906,0
0025,5000,0025.944,0
0025,5000,0027.230,0
0025,5000,0024.873,0
0025,5000,0019.018,0
0025,5000,0019.214,0
0025,5000,0024.681,0
0025,5000,0024.643,0
0025,5000,0023.615,0
0025,5000,0021.035,0
0025,5000,0026.751,0
0025,5000,0024.484,0
0025,5000,0021.229,0
0025,5000,0024.610,0
0025,5000,0025.058,0
0025,5000,0029.631,0
0025,5000,0019.384,0
0025,5000,0029.076,0
0025,5000,0022.198,0
0025,5000,0021.886,0
0025,5000,0031.495,0
0025,5000,0026.615,0
0025,5000,0021.640,0
0025,5000,0018.036,0
0025,5000,0017.029,0
0025,5000,0025.077,0
0025,5000,0027.771,0
0025,5000,0021.037,0
0025,5000,0022.579,0
0025,5000,0028.096,0
0025,5000,0028.029,0
0025,5000,0026.642,0
0025,5000,0024.394,0
0025,5000,0023.061,0
0025,5000,0024.750,0
0025,5000,0024.167,0
0025,5000,0027.112,0
0025,5000,0023.836,0
0025,5000,0031.247,0
0025,5000,0026.609,0
0050,5000,0043.605,0
0050,5000,0052.033,0
0050,5000,0043.215,0
0050,5000,0036.883,0
0050,5000,0032.168,0
0050,5000,0033.817,0
0050,5000,0049.444,0
0050,5000,0048.147,0
0050,5000,0042.229,0
0050,5000,0052.323,0
0050,5000,0059.976,0
0050,5000,0043.956,0
0050,5000,0052.769,0
0050,5000,0043.126,0
0050,5000,0043.836,0
0050,5000,0043.953,0
0050,5000,0041.145,0
0050,5000,0046.981,0
0050,5000,0040.171,0
0050,5000,0029.923,0
0050,5000,0047.043,0
0050,5000,0038.147,0
0050,5000,0041.868,0
0050,5000,0042.683,0
0050,5000,0054.777,0
0050,5000,0042.478,0
0050,5000,0046.025,0
0050,5000,0042.709,0
0050,5000,0046.906,0
0050,5000,0052.515,0
0050,5000,0048.562,0
0050,5000,0044.757,0
0050,5000,0035.194,0
0050,5000,0032.342,0
0050,5000,0047.248,0
0050,5000,0036.337,0
0050,5000,0038.312,0
0050,5000,0034.144,0
0050,5000,0036.499,0
0050,5000,0053.099,0
0050,5000,0039.882,0
0050,5000,0037.036,0
0050,5000,0047.336,0
0050,5000,0045.220,0
0050,5000,0037.777,0
0050,5000,0044.396,0
0050,5000,0038.469,0
0050,5000,0047.459,0
0050,5000,0055.820,0
0050,5000,0046.405,0
0100,5000,0076.777,0
0100,5000,0095.487,0
0100,5000,0085.149,0
0100,5000,0085.412,0
0100,5000,0086.873,0
0100,5000,0063.427,0
0100,5000,0054.854,0
0100,5000,0069.618,0
0100,5000,0071.575,0
0100,5000,0077.295,0
0100,5000,0076.311,0
0100,5000,0071.091,0
0100,5000,0066.742,0
0100,5000,0067.714,0
0100,5000,0077.118,0
0100,5000,0085.980,0
0100,5000,0089.686,0
0100,5000,0081.282,0
0100,5000,0092.187,0
0100,5000,0092.724,0
0100,5000,0069.167,0
0100,5000,0069.016,0
0100,5000,0061.806,0
0100,5000,0069.677,0
0100,5000,0080.815,0
0100,5000,0073.954,0
0100,5000,0071.011,0
0100,5000,0081.119,0
0100,5000,0085.366,0
0100,5000,0069.501,0
0100,5000,0074.223,0
0100,5000,0043.402,0
0100,5000,0077.592,0
0100,5000,0060.469,0
0100,5000,0068.223,0
0100,5000,0073.893,0
0100,5000,0065.386,0
0100,5000,0070.587,0
0100,5000,0058.273,0
0100,5000,0091.323,0
0100,5000,0044.977,0
0100,5000,0052.312,0
0100,5000,0066.869,0
0100,5000,0074.999,0
0100,5000,0061.401,0
0100,5000,0086.555,0
0100,5000,0086.895,0
0100,5000,0058.423,0
0100,5000,0063.466,0
0100,5000,0070.375,0
0150,5000,0088.304,0
0150,5000,0105.795,0
0150,5000,0096.096,0
0150,5000,0100.672,0
0150,5000,0076.446,0
0150,5000,0096.823,0
0150,5000,0070.476,0
0150,5000,0119.963,0
0150,5000,0083.958,0
0150,5000,0083.955,0
0150,5000,0121.441,0
0150,5000,0073.958,0
0150,5000,0116.735,0
0150,5000,0101.985,0
0150,5000,0126.767,0
0150,5000,0080.469,0
0150,5000,0080.634,0
0150,5000,0092.595,0
0150,5000,0086.781,0
0150,5000,0079.703,0
0150,5000,0115.580,0
0150,5000,0103.199,0
0150,5000,0099.524,0
0150,5000,0094.334,0
0150,5000,0065.322,0
0150,5000,0105.942,0
0150,5000,0116.281,0
0150,5000,0103.137,0
0150,5000,0104.995,0
0150,5000,0113.978,0
0150,5000,0098.471,0
0150,5000,0094.974,0
0150,5000,0108.374,0
0150,5000,0124.730,0
0150,5000,0112.023,0
0150,5000,0113.530,0
0150,5000,0086.607,0
0150,5000,0108.233,0
0150,5000,0101.571,0
0150,5000,0099.264,0
0150,5000,0111.598,0
0150,5000,0066.561,0
0150,5000,0095.567,0
0150,5000,0086.592,0
0150,5000,0074.670,0
0150,5000,0091.406,0
0150,5000,0082.314,0
0150,5000,0097.355,0
0150,5000,0095.331,0
0150,5000,0103.784,0
0200,5000,0159.498,0
0200,5000,0166.815,0
0200,5000,0138.834,0
0200,5000,0145.433,0
0200,5000,0147.176,0
0200,5000,0120.990,0
0200,5000,0141.185,0
0200,5000,0126.651,0
0200,5000,0085.603,0
0200,5000,0152.573,0
0200,5000,0141.788,0
0200,5000,0108.743,0
0200,5000,0114.819,0
0200,5000,0120.279,0
0200,5000,0132.476,0
0200,5000,0146.267,0
0200,5000,0186.240,0
0200,5000,0114.906,0
0200,5000,0111.405,0
0200,5000,0151.775,0
0200,5000,0145.130,0
0200,5000,0126.749,0
0200,5000,0119.676,0
0200,5000,0144.937,0
0200,5000,0191.302,0
0200,5000,0148.461,0
0200,5000,0162.533,0
0200,5000,0133.502,0
0200,5000,0095.675,0
0200,5000,0144.903,0
0200,5000,0154.729,0
0200,5000,0146.441,0
0200,5000,0170.450,1
0200,5000,0150.546,0
0200,5000,0097.891,0
0200,5000,0121.278,0
0200,5000,0168.673,0
0200,5000,0113.576,0
0200,5000,0131.652,0
0200,5000,0088.233,0
0200,5000,0097.161,0
0200,5000,0137.481,0
0200,5000,0143.464,0
0200,5000,0139.616,0
0200,5000,0107.474,0
0200,5000,0151.131,0
0200,5000,0103.429,0
0200,5000,0119.433,0
0200,5000,0159.508,0
0200,5000,0137.473,0
0250,5000,0173.474,0
0250,5000,0164.974,1
0250,5000,0153.486,0
0250,5000,0182.876,0
0250,5000,0277.836,1
0250,5000,0143.585,0
0250,5000,0108.224,0
0250,5000,0111.164,0
0250,5000,0123.318,0
0250,5000,0122.674,0
0250,5000,0182.760,0
0250,5000,0202.878,0
0250,5000,0187.896,0
0250,5000,0194.344,0
0250,5000,0150.495,0
0250,5000,0177.056,0
0250,5000,0195.855,0
