NumOfTips,LikCalculations,Time
0010,5000,0002.746
0010,5000,0001.024
0010,5000,0001.252
0010,5000,0001.183
0010,5000,0001.012
0010,5000,0001.143
0010,5000,0001.084
0010,5000,0001.005
0010,5000,0001.062
0010,5000,0001.267
0010,5000,0001.065
0010,5000,0000.920
0010,5000,0000.898
0010,5000,0001.090
0010,5000,0001.036
0010,5000,0001.210
0010,5000,0001.395
0010,5000,0000.999
0010,5000,0001.121
0010,5000,0001.087
0025,5000,0003.622
0025,5000,0002.535
0025,5000,0002.538
0025,5000,0002.254
0025,5000,0002.387
0025,5000,0002.461
0025,5000,0002.026
0025,5000,0002.165
0025,5000,0002.125
0025,5000,0002.333
0025,5000,0002.702
0025,5000,0002.521
0025,5000,0001.952
0025,5000,0002.533
0025,5000,0002.650
0025,5000,0002.392
0025,5000,0002.439
0025,5000,0002.082
0025,5000,0002.941
0025,5000,0002.530
0050,5000,0004.506
0050,5000,0004.551
0050,5000,0004.362
0050,5000,0004.417
0050,5000,0004.546
0050,5000,0003.773
0050,5000,0004.079
0050,5000,0004.117
0050,5000,0004.972
0050,5000,0004.310
0050,5000,0004.652
0050,5000,0004.644
0050,5000,0004.704
0050,5000,0004.757
0050,5000,0004.285
0050,5000,0005.246
0050,5000,0004.075
0050,5000,0004.571
0050,5000,0004.873
0050,5000,0004.003
0100,5000,0008.734
0100,5000,0007.243
0100,5000,0007.590
0100,5000,0007.030
0100,5000,0008.697
0100,5000,0009.252
0100,5000,0008.156
0100,5000,0007.163
0100,5000,0007.523
0100,5000,0007.683
0100,5000,0008.156
0100,5000,0008.272
0100,5000,0007.520
0100,5000,0008.080
0100,5000,0008.336
0100,5000,0008.126
0100,5000,0008.485
0100,5000,0008.469
0100,5000,0007.197
0100,5000,0008.635
0150,5000,0011.807
0150,5000,0011.450
0150,5000,0013.977
0150,5000,0012.653
0150,5000,0012.731
0150,5000,0011.620
0150,5000,0011.992
0150,5000,0011.227
0150,5000,0011.925
0150,5000,0010.856
0150,5000,0011.790
0150,5000,0011.487
0150,5000,0011.427
0150,5000,0012.981
0150,5000,0011.224
0150,5000,0010.935
0150,5000,0014.280
0150,5000,0011.201
0150,5000,0011.300
0150,5000,0011.730
0200,5000,0016.242
0200,5000,0014.086
0200,5000,0015.322
0200,5000,0014.375
0200,5000,0014.360
0200,5000,0013.777
0200,5000,0015.489
0200,5000,0013.417
0200,5000,0015.166
0200,5000,0015.821
0200,5000,0015.351
0200,5000,0014.328
0200,5000,0016.428
0200,5000,0015.869
0200,5000,0014.150
0200,5000,0014.888
0200,5000,0015.032
0200,5000,0017.015
0200,5000,0015.013
0200,5000,0015.652
0250,5000,0019.846
0250,5000,0018.298
0250,5000,0021.731
0250,5000,0017.555
0250,5000,0018.483
0250,5000,0019.085
0250,5000,0018.388
0250,5000,0017.927
0250,5000,0018.570
0250,5000,0018.249
0250,5000,0019.884
0250,5000,0019.223
0250,5000,0018.042
0250,5000,0020.068
0250,5000,0017.353
0250,5000,0019.242
0250,5000,0018.498
0250,5000,0018.790
0250,5000,0018.883
0250,5000,0017.818
0300,5000,0024.230
0300,5000,0023.439
0300,5000,0019.773
0300,5000,0022.138
0300,5000,0022.661
0300,5000,0023.829
0300,5000,0023.958
0300,5000,0021.715
0300,5000,0022.674
0300,5000,0023.858
0300,5000,0022.608
0300,5000,0022.933
0300,5000,0021.636
0300,5000,0025.207
0300,5000,0021.283
0300,5000,0026.504
0300,5000,0023.077
0300,5000,0023.381
0300,5000,0021.464
0300,5000,0022.026
0400,5000,0031.945
0400,5000,0027.995
0400,5000,0032.484
0400,5000,0027.762
0400,5000,0031.910
0400,5000,0028.192
0400,5000,0027.917
0400,5000,0031.148
0400,5000,0030.156
0400,5000,0030.671
0400,5000,0030.176
0400,5000,0029.210
0400,5000,0030.712
0400,5000,0029.941
0400,5000,0026.234
0400,5000,0031.519
0400,5000,0033.701
0400,5000,0027.369
0400,5000,0030.457
0400,5000,0030.190
0500,5000,0035.009
0500,5000,0041.475
0500,5000,0038.337
0500,5000,0036.232
0500,5000,0042.821
0500,5000,0035.241
0500,5000,0037.287
0500,5000,0039.336
0500,5000,0037.609
0500,5000,0041.111
0500,5000,0038.174
0500,5000,0039.390
0500,5000,0037.755
0500,5000,0036.721
0500,5000,0034.954
0500,5000,0038.289
0500,5000,0040.105
0500,5000,0038.285
0500,5000,0037.357
0500,5000,0039.288
0600,5000,0045.470
0600,5000,0050.439
0600,5000,0048.110
0600,5000,0046.684
0600,5000,0044.078
0600,5000,0039.902
0600,5000,0047.499
0600,5000,0044.324
0600,5000,0054.121
0600,5000,0047.138
0600,5000,0042.216
0600,5000,0047.159
0600,5000,0047.400
0600,5000,0046.597
0600,5000,0041.471
0600,5000,0051.341
0600,5000,0045.954
0600,5000,0048.983
0600,5000,0044.000
0600,5000,0047.070
0800,5000,0062.023
0800,5000,0069.511
0800,5000,0059.034
0800,5000,0059.658
0800,5000,0057.018
0800,5000,0057.791
0800,5000,0065.968
0800,5000,0062.109
0800,5000,0062.501
0800,5000,0064.546
0800,5000,0068.012
0800,5000,0060.578
0800,5000,0058.284
0800,5000,0063.689
0800,5000,0055.354
0800,5000,0064.282
0800,5000,0060.463
0800,5000,0058.629
0800,5000,0060.066
0800,5000,0061.487
1000,5000,0082.552
1000,5000,0072.020
1000,5000,0074.811
1000,5000,0069.026
1000,5000,0075.204
1000,5000,0071.623
1000,5000,0078.373
1000,5000,0082.088
1000,5000,0074.888
1000,5000,0076.753
1000,5000,0068.070
1000,5000,0082.487
1000,5000,0075.876
1000,5000,0076.960
1000,5000,0075.938
1000,5000,0089.384
1000,5000,0078.347
1000,5000,0075.902
1000,5000,0081.401
1000,5000,0079.977
