NumOfTips,LikCalculations,Time,isInfLik
0010,5000,0003.177,0
0010,5000,0001.447,0
0010,5000,0001.289,0
0010,5000,0000.976,0
0010,5000,0001.140,0
0010,5000,0001.385,0
0010,5000,0001.068,0
0010,5000,0001.074,0
0010,5000,0000.906,0
0010,5000,0001.083,0
0010,5000,0001.060,0
0010,5000,0001.182,0
0010,5000,0000.943,0
0010,5000,0001.202,0
0010,5000,0001.426,0
0010,5000,0001.203,0
0010,5000,0001.402,0
0010,5000,0001.153,0
0010,5000,0001.174,0
0010,5000,0000.880,0
0010,5000,0001.334,0
0010,5000,0001.066,0
0010,5000,0001.003,0
0010,5000,0001.204,0
0010,5000,0001.192,0
0010,5000,0001.121,0
0010,5000,0001.100,0
0010,5000,0001.116,0
0010,5000,0001.047,0
0010,5000,0001.171,0
0025,5000,0002.750,0
0025,5000,0002.253,0
0025,5000,0002.263,0
0025,5000,0003.249,0
0025,5000,0002.166,0
0025,5000,0002.827,0
0025,5000,0002.462,0
0025,5000,0002.278,0
0025,5000,0002.832,0
0025,5000,0002.695,0
0025,5000,0002.547,0
0025,5000,0002.487,0
0025,5000,0002.919,0
0025,5000,0002.151,0
0025,5000,0002.373,0
0025,5000,0002.423,0
0025,5000,0002.226,0
0025,5000,0002.331,0
0025,5000,0002.537,0
0025,5000,0002.392,0
0025,5000,0002.351,0
0025,5000,0002.665,0
0025,5000,0002.001,0
0025,5000,0002.281,0
0025,5000,0002.993,0
0025,5000,0002.217,0
0025,5000,0002.312,0
0025,5000,0002.525,0
0025,5000,0002.815,0
0025,5000,0002.462,0
0050,5000,0004.238,0
0050,5000,0004.330,0
0050,5000,0004.404,0
0050,5000,0004.273,0
0050,5000,0004.752,0
0050,5000,0004.197,0
0050,5000,0004.718,0
0050,5000,0004.350,0
0050,5000,0004.194,0
0050,5000,0004.148,0
0050,5000,0004.406,0
0050,5000,0004.259,0
0050,5000,0004.012,0
0050,5000,0003.845,0
0050,5000,0004.644,0
0050,5000,0004.541,0
0050,5000,0004.139,0
0050,5000,0004.030,0
0050,5000,0004.506,0
0050,5000,0004.429,0
0050,5000,0004.579,0
0050,5000,0004.159,0
0050,5000,0004.369,0
0050,5000,0004.008,0
0050,5000,0004.468,0
0050,5000,0004.467,0
0050,5000,0004.322,0
0050,5000,0004.559,0
0050,5000,0004.347,0
0050,5000,0004.288,0
0100,5000,0007.649,0
0100,5000,0007.874,0
0100,5000,0008.300,0
0100,5000,0008.127,0
0100,5000,0007.762,0
0100,5000,0007.643,0
0100,5000,0007.700,0
