NumOfTips,LikCalculations,Time,isInfLik
0010,5000,0011.317,0
0010,5000,0008.588,0
0010,5000,0009.005,0
0010,5000,0012.181,0
0010,5000,0010.984,0
0010,5000,0009.503,0
0010,5000,0009.301,0
0010,5000,0009.837,0
0010,5000,0010.607,0
0010,5000,0010.397,0
0010,5000,0011.897,0
0010,5000,0007.186,0
0010,5000,0006.862,0
0010,5000,0010.677,0
0010,5000,0010.684,0
0010,5000,0009.053,0
0010,5000,0008.618,0
0010,5000,0013.549,0
0010,5000,0011.630,0
0010,5000,0009.072,0
0010,5000,0010.961,0
0010,5000,0010.529,0
0010,5000,0010.714,0
0010,5000,0009.705,0
0010,5000,0011.771,0
0010,5000,0009.714,0
0010,5000,0009.578,0
0010,5000,0008.917,0
0010,5000,0009.230,0
0010,5000,0006.625,0
0010,5000,0010.012,0
0010,5000,0010.011,0
0010,5000,0009.564,0
0010,5000,0010.200,0
0010,5000,0007.806,0
0010,5000,0009.097,0
0010,5000,0012.196,0
0010,5000,0009.222,0
0010,5000,0009.187,0
0010,5000,0009.674,0
0010,5000,0012.733,0
0010,5000,0007.183,0
0010,5000,0009.960,0
0010,5000,0011.600,0
0010,5000,0007.011,0
0010,5000,0010.092,0
0010,5000,0012.949,0
0010,5000,0011.156,0
0010,5000,0009.518,0
0010,5000,0009.208,0
0025,5000,0024.456,0
0025,5000,0022.323,0
0025,5000,0019.148,0
0025,5000,0026.509,0
0025,5000,0025.244,0
0025,5000,0024.933,0
0025,5000,0020.343,0
0025,5000,0015.482,0
0025,5000,0017.266,0
0025,5000,0020.610,0
0025,5000,0021.353,0
0025,5000,0026.242,0
0025,5000,0020.898,0
0025,5000,0015.815,0
0025,5000,0020.407,0
0025,5000,0024.729,0
0025,5000,0021.214,0
0025,5000,0017.384,0
0025,5000,0020.035,0
0025,5000,0022.827,0
0025,5000,0020.740,0
0025,5000,0016.499,0
0025,5000,0017.942,0
0025,5000,0014.552,0
0025,5000,0014.516,0
0025,5000,0023.943,0
0025,5000,0021.525,0
0025,5000,0021.498,0
0025,5000,0018.515,0
0025,5000,0016.816,0
0025,5000,0019.809,0
0025,5000,0023.217,0
0025,5000,0016.602,0
0025,5000,0023.789,0
0025,5000,0020.921,0
0025,5000,0009.462,0
0025,5000,0023.093,0
0025,5000,0019.646,0
0025,5000,0019.028,0
0025,5000,0020.736,0
0025,5000,0016.874,0
0025,5000,0016.459,0
0025,5000,0023.791,0
0025,5000,0017.167,0
0025,5000,0018.110,0
0025,5000,0019.215,0
0025,5000,0019.268,0
0025,5000,0017.934,0
0025,5000,0016.238,0
0025,5000,0020.995,0
0050,5000,0022.710,0
0050,5000,0035.969,0
0050,5000,0026.662,0
0050,5000,0038.158,0
0050,5000,0026.222,0
0050,5000,0036.674,0
0050,5000,0030.672,0
0050,5000,0039.794,0
0050,5000,0039.631,0
0050,5000,0042.204,0
0050,5000,0036.491,0
0050,5000,0027.854,0
0050,5000,0034.754,0
0050,5000,0035.345,0
0050,5000,0045.176,0
0050,5000,0039.655,0
0050,5000,0035.645,0
0050,5000,0025.037,0
0050,5000,0034.437,0
0050,5000,0023.450,0
0050,5000,0042.798,0
0050,5000,0037.906,0
0050,5000,0028.597,0
0050,5000,0036.523,0
0050,5000,0032.132,0
0050,5000,0038.769,0
0050,5000,0033.630,0
0050,5000,0033.747,0
0050,5000,0041.907,0
0050,5000,0034.141,0
0050,5000,0036.842,0
0050,5000,0035.363,0
0050,5000,0039.088,0
0050,5000,0043.986,0
0050,5000,0027.134,0
0050,5000,0038.963,0
0050,5000,0026.361,0
0050,5000,0031.682,0
0050,5000,0039.666,0
0050,5000,0022.780,0
0050,5000,0043.191,0
0050,5000,0040.427,0
0050,5000,0024.920,0
0050,5000,0034.217,0
0050,5000,0032.774,0
0050,5000,0036.148,0
0050,5000,0034.243,0
0050,5000,0033.491,0
0050,5000,0039.281,0
0050,5000,0046.362,0
0100,5000,0080.660,0
0100,5000,0051.854,0
0100,5000,0071.383,0
0100,5000,0057.969,0
0100,5000,0077.518,0
0100,5000,0073.867,0
0100,5000,0053.289,0
0100,5000,0073.767,0
0100,5000,0034.182,0
0100,5000,0059.138,0
0100,5000,0077.066,0
0100,5000,0074.635,0
0100,5000,0083.581,0
0100,5000,0061.365,0
0100,5000,0064.540,0
0100,5000,0049.966,0
0100,5000,0075.954,0
0100,5000,0052.446,0
0100,5000,0070.866,0
0100,5000,0053.173,0
0100,5000,0076.354,0
0100,5000,0068.727,0
0100,5000,0055.258,0
0100,5000,0068.887,0
0100,5000,0042.164,0
0100,5000,0060.730,0
0100,5000,0066.193,0
0100,5000,0060.943,0
0100,5000,0083.273,0
0100,5000,0060.714,0
0100,5000,0064.824,0
0100,5000,0062.680,0
0100,5000,0069.927,0
0100,5000,0072.120,0
0100,5000,0058.458,0
0100,5000,0078.906,0
0100,5000,0072.500,0
0100,5000,0071.873,0
0100,5000,0070.873,0
0100,5000,0054.178,0
0100,5000,0075.972,0
0100,5000,0060.625,0
0100,5000,0062.124,0
0100,5000,0079.163,0
0100,5000,0056.609,0
0100,5000,0064.272,0
0100,5000,0059.511,0
0100,5000,0056.893,0
0100,5000,0048.889,0
0100,5000,0070.829,0
0150,5000,0107.010,0
0150,5000,0075.046,0
0150,5000,0062.499,0
0150,5000,0086.019,0
0150,5000,0094.364,0
0150,5000,0110.311,0
0150,5000,0096.246,0
0150,5000,0141.822,0
0150,5000,0143.723,0
0150,5000,0121.781,0
0150,5000,0153.648,0
0150,5000,0101.564,0
0150,5000,0123.442,0
0150,5000,0142.565,0
0150,5000,0121.034,0
0150,5000,0131.596,0
0150,5000,0154.372,0
0150,5000,0101.628,0
0150,5000,0117.320,0
0150,5000,0131.761,0
0150,5000,0133.644,0
0150,5000,0120.253,0
0150,5000,0122.960,0
0150,5000,0110.086,0
0150,5000,0109.619,0
